oblast,raion,geo_id,first_date,last_date,records
Cherkaska oblast,Cherkaskyi raion,Cherkaska oblast | Cherkaskyi raion,2026-01-01,2026-06-23,443
Cherkaska oblast,Umanskyi raion,Cherkaska oblast | Umanskyi raion,2026-01-01,2026-06-23,352
Cherkaska oblast,Zolotoniskyi raion,Cherkaska oblast | Zolotoniskyi raion,2026-01-01,2026-06-23,443
Cherkaska oblast,Zvenyhorodskyi raion,Cherkaska oblast | Zvenyhorodskyi raion,2026-01-01,2026-06-23,377
Chernihivska oblast,Chernihivskyi raion,Chernihivska oblast | Chernihivskyi raion,2026-01-01,2026-06-23,782
Chernihivska oblast,Koriukivskyi raion,Chernihivska oblast | Koriukivskyi raion,2026-01-01,2026-06-23,777
Chernihivska oblast,Nizhynskyi raion,Chernihivska oblast | Nizhynskyi raion,2026-01-01,2026-06-23,728
Chernihivska oblast,Novhorod-Siverskyi raion,Chernihivska oblast | Novhorod-Siverskyi raion,2026-01-01,2026-06-23,703
Chernihivska oblast,Prylutskyi raion,Chernihivska oblast | Prylutskyi raion,2026-01-01,2026-06-23,553
Chernivetska oblast,Chernivetskyi raion,Chernivetska oblast | Chernivetskyi raion,2026-01-04,2026-06-23,68
Chernivetska oblast,Dnistrovskyi raion,Chernivetska oblast | Dnistrovskyi raion,2026-01-04,2026-06-23,80
Chernivetska oblast,Vyzhnytskyi raion,Chernivetska oblast | Vyzhnytskyi raion,2026-01-04,2026-06-23,68
Dnipropetrovska oblast,Dniprovskyi raion,Dnipropetrovska oblast | Dniprovskyi raion,2026-01-01,2026-06-23,893
Dnipropetrovska oblast,Kamianskyi raion,Dnipropetrovska oblast | Kamianskyi raion,2026-01-01,2026-06-23,683
Dnipropetrovska oblast,Kryvorizkyi raion,Dnipropetrovska oblast | Kryvorizkyi raion,2026-01-01,2026-06-23,870
Dnipropetrovska oblast,Nikopolskyi raion,Dnipropetrovska oblast | Nikopolskyi raion,2026-01-01,2026-06-23,872
Dnipropetrovska oblast,Pavlohradskyi raion,Dnipropetrovska oblast | Pavlohradskyi raion,2026-01-01,2026-06-23,873
Dnipropetrovska oblast,Samarivskyi raion,Dnipropetrovska oblast | Samarivskyi raion,2026-01-01,2026-06-23,647
Dnipropetrovska oblast,Synelnykivskyi raion,Dnipropetrovska oblast | Synelnykivskyi raion,2026-01-01,2026-06-23,620
Donetska oblast,Bakhmutskyi raion,Donetska oblast | Bakhmutskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Donetskyi raion,Donetska oblast | Donetskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Horlivskyi raion,Donetska oblast | Horlivskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Kalmiuskyi raion,Donetska oblast | Kalmiuskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Kramatorskyi raion,Donetska oblast | Kramatorskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Mariupolskyi raion,Donetska oblast | Mariupolskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Pokrovskyi raion,Donetska oblast | Pokrovskyi raion,2026-01-01,2026-06-23,470
Donetska oblast,Volnovaskyi raion,Donetska oblast | Volnovaskyi raion,2026-01-01,2026-06-23,470
Ivano-Frankivska oblast,Ivano-Frankivskyi raion,Ivano-Frankivska oblast | Ivano-Frankivskyi raion,2026-01-04,2026-06-23,68
Ivano-Frankivska oblast,Kaluskyi raion,Ivano-Frankivska oblast | Kaluskyi raion,2026-01-04,2026-06-23,67
Ivano-Frankivska oblast,Kolomyiskyi raion,Ivano-Frankivska oblast | Kolomyiskyi raion,2026-01-04,2026-06-23,68
Ivano-Frankivska oblast,Kosivskyi raion,Ivano-Frankivska oblast | Kosivskyi raion,2026-01-04,2026-06-23,68
Ivano-Frankivska oblast,Nadvirnianskyi raion,Ivano-Frankivska oblast | Nadvirnianskyi raion,2026-01-04,2026-06-23,68
Ivano-Frankivska oblast,Verkhovynskyi raion,Ivano-Frankivska oblast | Verkhovynskyi raion,2026-01-04,2026-06-23,68
Kharkivska oblast,Bohodukhivskyi raion,Kharkivska oblast | Bohodukhivskyi raion,2026-01-01,2026-06-23,1205
Kharkivska oblast,Chuhuivskyi raion,Kharkivska oblast | Chuhuivskyi raion,2026-01-01,2026-06-23,1129
Kharkivska oblast,Iziumskyi raion,Kharkivska oblast | Iziumskyi raion,2026-01-01,2026-06-23,1103
Kharkivska oblast,Kharkivskyi raion,Kharkivska oblast | Kharkivskyi raion,2026-01-01,2026-06-23,1346
Kharkivska oblast,Krasnohradskyi raion,Kharkivska oblast | Krasnohradskyi raion,2026-01-01,2026-06-23,712
Kharkivska oblast,Kupianskyi raion,Kharkivska oblast | Kupianskyi raion,2026-01-01,2026-06-23,1025
Kharkivska oblast,Lozivskyi raion,Kharkivska oblast | Lozivskyi raion,2026-01-01,2026-06-23,866
Khersonska oblast,Beryslavskyi raion,Khersonska oblast | Beryslavskyi raion,2026-01-01,2026-06-23,656
Khersonska oblast,Henicheskyi raion,Khersonska oblast | Henicheskyi raion,2026-01-01,2026-06-23,277
Khersonska oblast,Kakhovskyi raion,Khersonska oblast | Kakhovskyi raion,2026-01-01,2026-06-23,277
Khersonska oblast,Khersonskyi raion,Khersonska oblast | Khersonskyi raion,2026-01-01,2026-06-23,643
Khersonska oblast,Skadovskyi raion,Khersonska oblast | Skadovskyi raion,2026-01-01,2026-06-23,277
Khmelnytska oblast,Kamianets-Podilskyi raion,Khmelnytska oblast | Kamianets-Podilskyi raion,2026-01-04,2026-06-23,91
Khmelnytska oblast,Khmelnytskyi raion,Khmelnytska oblast | Khmelnytskyi raion,2026-01-04,2026-06-23,108
Khmelnytska oblast,Shepetivskyi raion,Khmelnytska oblast | Shepetivskyi raion,2026-01-01,2026-06-23,105
Kirovohradska oblast,Holovanivskyi raion,Kirovohradska oblast | Holovanivskyi raion,2026-01-01,2026-06-23,372
Kirovohradska oblast,Kropyvnytskyi raion,Kirovohradska oblast | Kropyvnytskyi raion,2026-01-01,2026-06-23,504
Kirovohradska oblast,Novoukrainskyi raion,Kirovohradska oblast | Novoukrainskyi raion,2026-01-01,2026-06-23,411
Kirovohradska oblast,Oleksandriiskyi raion,Kirovohradska oblast | Oleksandriiskyi raion,2026-01-01,2026-06-23,499
Kyivska oblast,Bilotserkivskyi raion,Kyivska oblast | Bilotserkivskyi raion,2026-01-01,2026-06-23,233
Kyivska oblast,Boryspilskyi raion,Kyivska oblast | Boryspilskyi raion,2026-01-01,2026-06-23,330
Kyivska oblast,Brovarskyi raion,Kyivska oblast | Brovarskyi raion,2026-01-01,2026-06-23,365
Kyivska oblast,Buchanskyi raion,Kyivska oblast | Buchanskyi raion,2026-01-01,2026-06-23,294
Kyivska oblast,Fastivskyi raion,Kyivska oblast | Fastivskyi raion,2026-01-01,2026-06-23,242
Kyivska oblast,Obukhivskyi raion,Kyivska oblast | Obukhivskyi raion,2026-01-01,2026-06-23,275
Kyivska oblast,Vyshhorodskyi raion,Kyivska oblast | Vyshhorodskyi raion,2026-01-01,2026-06-23,419
Lvivska oblast,Chervonohradskyi raion,Lvivska oblast | Chervonohradskyi raion,2026-01-04,2026-06-23,68
Lvivska oblast,Drohobytskyi raion,Lvivska oblast | Drohobytskyi raion,2026-01-04,2026-06-23,63
Lvivska oblast,Lvivskyi raion,Lvivska oblast | Lvivskyi raion,2026-01-04,2026-06-23,70
Lvivska oblast,Sambirskyi raion,Lvivska oblast | Sambirskyi raion,2026-01-04,2026-06-23,63
Lvivska oblast,Stryiskyi raion,Lvivska oblast | Stryiskyi raion,2026-01-04,2026-06-23,68
Lvivska oblast,Yavorivskyi raion,Lvivska oblast | Yavorivskyi raion,2026-01-04,2026-06-23,63
Lvivska oblast,Zolochivskyi raion,Lvivska oblast | Zolochivskyi raion,2026-01-04,2026-06-23,71
Mykolaivska oblast,Bashtanskyi raion,Mykolaivska oblast | Bashtanskyi raion,2026-01-01,2026-06-23,546
Mykolaivska oblast,Mykolaivskyi raion,Mykolaivska oblast | Mykolaivskyi raion,2026-01-01,2026-06-23,779
Mykolaivska oblast,Pervomaiskyi raion,Mykolaivska oblast | Pervomaiskyi raion,2026-01-01,2026-06-23,263
Mykolaivska oblast,Voznesenskyi raion,Mykolaivska oblast | Voznesenskyi raion,2026-01-01,2026-06-23,308
Odeska oblast,Berezivskyi raion,Odeska oblast | Berezivskyi raion,2026-01-01,2026-06-23,269
Odeska oblast,Bilhorod-Dnistrovskyi raion,Odeska oblast | Bilhorod-Dnistrovskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Bolhradskyi raion,Odeska oblast | Bolhradskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Izmailskyi raion,Odeska oblast | Izmailskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Odeskyi raion,Odeska oblast | Odeskyi raion,2026-01-01,2026-06-23,652
Odeska oblast,Podilskyi raion,Odeska oblast | Podilskyi raion,2026-01-01,2026-06-23,269
Odeska oblast,Rozdilnianskyi raion,Odeska oblast | Rozdilnianskyi raion,2026-01-01,2026-06-23,269
Poltavska oblast,Kremenchutskyi raion,Poltavska oblast | Kremenchutskyi raion,2026-01-01,2026-06-23,517
Poltavska oblast,Lubenskyi raion,Poltavska oblast | Lubenskyi raion,2026-01-01,2026-06-23,580
Poltavska oblast,Myrhorodskyi raion,Poltavska oblast | Myrhorodskyi raion,2026-01-01,2026-06-23,668
Poltavska oblast,Poltavskyi raion,Poltavska oblast | Poltavskyi raion,2026-01-01,2026-06-23,771
Rivnenska oblast,Dubenskyi raion,Rivnenska oblast | Dubenskyi raion,2026-01-01,2026-06-23,77
Rivnenska oblast,Rivnenskyi raion,Rivnenska oblast | Rivnenskyi raion,2026-01-01,2026-06-23,113
Rivnenska oblast,Sarnenskyi raion,Rivnenska oblast | Sarnenskyi raion,2026-01-01,2026-06-23,136
Rivnenska oblast,Varaskyi raion,Rivnenska oblast | Varaskyi raion,2026-01-01,2026-06-23,106
Sumska oblast,Konotopskyi raion,Sumska oblast | Konotopskyi raion,2026-01-01,2026-06-23,948
Sumska oblast,Okhtyrskyi raion,Sumska oblast | Okhtyrskyi raion,2026-01-01,2026-06-23,903
Sumska oblast,Romenskyi raion,Sumska oblast | Romenskyi raion,2026-01-01,2026-06-23,662
Sumska oblast,Shostkynskyi raion,Sumska oblast | Shostkynskyi raion,2026-01-01,2026-06-23,932
Sumska oblast,Sumskyi raion,Sumska oblast | Sumskyi raion,2026-01-01,2026-06-23,1021
Ternopilska oblast,Chortkivskyi raion,Ternopilska oblast | Chortkivskyi raion,2026-01-04,2026-06-23,78
Ternopilska oblast,Kremenetskyi raion,Ternopilska oblast | Kremenetskyi raion,2026-01-04,2026-06-23,78
Ternopilska oblast,Ternopilskyi raion,Ternopilska oblast | Ternopilskyi raion,2026-01-04,2026-06-23,78
Vinnytska oblast,Haisynskyi raion,Vinnytska oblast | Haisynskyi raion,2026-01-01,2026-06-23,154
Vinnytska oblast,Khmilnytskyi raion,Vinnytska oblast | Khmilnytskyi raion,2026-01-01,2026-06-23,152
Vinnytska oblast,Mohyliv-Podilskyi raion,Vinnytska oblast | Mohyliv-Podilskyi raion,2026-01-01,2026-06-23,144
Vinnytska oblast,Tulchynskyi raion,Vinnytska oblast | Tulchynskyi raion,2026-01-01,2026-06-23,149
Vinnytska oblast,Vinnytskyi raion,Vinnytska oblast | Vinnytskyi raion,2026-01-01,2026-06-23,157
Vinnytska oblast,Zhmerynskyi raion,Vinnytska oblast | Zhmerynskyi raion,2026-01-01,2026-06-23,146
Volynska oblast,Kamin-Kashyrskyi raion,Volynska oblast | Kamin-Kashyrskyi raion,2026-01-01,2026-06-23,86
Volynska oblast,Kovelskyi raion,Volynska oblast | Kovelskyi raion,2026-01-01,2026-06-23,79
Volynska oblast,Lutskyi raion,Volynska oblast | Lutskyi raion,2026-01-01,2026-06-23,84
Volynska oblast,Volodymyr-Volynskyi raion,Volynska oblast | Volodymyr-Volynskyi raion,2026-01-04,2026-06-23,68
Zakarpatska oblast,Berehivskyi raion,Zakarpatska oblast | Berehivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Khustskyi raion,Zakarpatska oblast | Khustskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Mukachivskyi raion,Zakarpatska oblast | Mukachivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Rakhivskyi raion,Zakarpatska oblast | Rakhivskyi raion,2026-01-04,2026-06-23,64
Zakarpatska oblast,Tiachivskyi raion,Zakarpatska oblast | Tiachivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Uzhhorodskyi raion,Zakarpatska oblast | Uzhhorodskyi raion,2026-01-04,2026-06-23,63
Zaporizka oblast,Berdianskyi raion,Zaporizka oblast | Berdianskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Melitopolskyi raion,Zaporizka oblast | Melitopolskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Polohivskyi raion,Zaporizka oblast | Polohivskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Vasylivskyi raion,Zaporizka oblast | Vasylivskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Zaporizkyi raion,Zaporizka oblast | Zaporizkyi raion,2026-01-01,2026-06-23,859
Zhytomyrska oblast,Berdychivskyi raion,Zhytomyrska oblast | Berdychivskyi raion,2026-01-01,2026-06-23,155
Zhytomyrska oblast,Korostenskyi raion,Zhytomyrska oblast | Korostenskyi raion,2026-01-01,2026-06-23,259
Zhytomyrska oblast,Zhytomyrskyi raion,Zhytomyrska oblast | Zhytomyrskyi raion,2026-01-01,2026-06-23,203
Zhytomyrska oblast,Zviahelskyi raion,Zhytomyrska oblast | Zviahelskyi raion,2026-01-01,2026-06-23,165
